GAUSS_005,TONY++_003_001,51,7.541837e-01
GAUSS_005,TONY++_005_001,52,5.661837e-01
GAUSS_005,TONY++_003_006,53,4.255901e-01
GAUSS_005,TONY++_003_006,54,1.315661e-01
GAUSS_005,TONY++_005_001,55,3.812447e-02
GAUSS_009,TONY++_001_001,51,7.667073e-01
GAUSS_009,TONY++_005_001,52,6.933674e-01
GAUSS_009,TONY++_005_001,53,4.091031e-01
GAUSS_009,TONY++_005_001,54,1.285204e-01
GAUSS_009,TONY++_005_001,55,3.807874e-02
GAUSS_013,TONY++_001_001,51,6.803519e-01
GAUSS_013,TONY++_005_001,52,7.071862e-01
GAUSS_013,TONY++_003_001,53,5.252042e-01
GAUSS_013,TONY++_005_001,54,1.518722e-01
GAUSS_013,TONY++_005_001,55,3.678826e-02
GAUSS_015,TONY++_001_001,51,6.568319e-01
GAUSS_015,TONY++_003_001,52,6.813562e-01
GAUSS_015,TONY++_003_001,53,5.513222e-01
GAUSS_015,TONY++_005_001,54,1.563226e-01
GAUSS_015,TONY++_001_001,55,3.759134e-02
GAUSS_017,TONY++_001_001,51,5.703194e-01
GAUSS_017,TONY++_003_001,52,6.865570e-01
GAUSS_017,TONY++_003_001,53,5.411124e-01
GAUSS_017,TONY++_005_001,54,1.484705e-01
GAUSS_017,TONY++_001_001,55,3.671458e-02
GAUSS_019,TONY++_001_001,51,5.154872e-01
GAUSS_019,TONY++_001_001,52,6.505743e-01
GAUSS_019,TONY++_003_001,53,5.363842e-01
GAUSS_019,TONY++_005_001,54,1.530569e-01
GAUSS_019,TONY++_003_001,55,3.930968e-02
GAUSS_021,TONY++_001_001,51,4.553835e-01
GAUSS_021,TONY++_001_001,52,6.334178e-01
GAUSS_021,TONY++_003_001,53,5.363501e-01
GAUSS_021,TONY++_005_001,54,1.571761e-01
GAUSS_021,TONY++_003_001,55,3.947784e-02
GAUSS_023,TONY++_001_001,51,3.321431e-01
GAUSS_023,TONY++_001_001,52,6.524182e-01
GAUSS_023,TONY++_003_001,53,5.418196e-01
GAUSS_023,TONY++_005_001,54,1.565290e-01
GAUSS_023,TONY++_003_001,55,4.004779e-02
GAUSS_025,TONY++_001_001,51,3.340770e-01
GAUSS_025,TONY++_003_001,52,5.891388e-01
GAUSS_025,TONY++_003_001,53,5.376207e-01
GAUSS_025,TONY++_005_001,54,1.652216e-01
GAUSS_025,TONY++_001_001,55,4.192301e-02
GAUSS_027,TONY++_001_001,51,2.958941e-01
GAUSS_027,TONY++_001_001,52,5.743183e-01
GAUSS_027,TONY++_003_001,53,5.344890e-01
GAUSS_027,TONY++_001_001,54,1.652346e-01
GAUSS_027,TONY++_003_001,55,4.316569e-02
